episode,analog,structure,und,seagull,burry,entry,offset_m,rule,cost_pct,multiple,payoff,pnl_pct,peak_mult,months_to_peak,max_dd,timing_miss,truncated,exit22_before_trough,exit22_fired,iv_entry
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-01-29,,tiered,-3.722049089170472,1.7387684921984614,3.0826968396438296e-14,3.722049089170479,1.8612028219245795,14.126149802890932,0.7639480953442761,False,False,False,False,15.397359155702272
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-01-29,,IPS,-3.722049089170472,1.8049445783205074,1.460581372990349,4.0554561628025,1.8612028219245795,14.126149802890932,0.7639480953442761,False,False,False,False,15.397359155702272
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-02-26,,hold,-3.415444057434724,1.642036474834989,1.5531747223528276e-07,3.41544409247928,1.8154121010375457,13.206307490144546,0.7148072611146277,False,False,False,False,15.532351583236878
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-02-26,,v4_-22,-3.415444057434724,1.642036474834989,1.5531747223528276e-07,3.41544409247928,1.8154121010375457,13.206307490144546,0.7148072611146277,False,False,False,False,15.532351583236878
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-02-26,,peak_-22,-3.415444057434724,1.642036474834989,1.5531747223528276e-07,3.41544409247928,1.8154121010375457,13.206307490144546,0.7148072611146277,False,False,False,False,15.532351583236878
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-02-26,,tiered,-3.415444057434724,1.642036474834989,1.5531747223528276e-07,3.41544409247928,1.8154121010375457,13.206307490144546,0.7148072611146277,False,False,False,False,15.532351583236878
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-02-26,,IPS,-3.415444057434724,1.6761581106915924,0.8044835325179146,3.5969610999703545,1.8154121010375457,13.206307490144546,0.7148072611146277,False,False,False,False,15.532351583236878
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-03-31,,hold,-3.3461255352896027,1.6156628068710144,2.246725272357419e-13,3.3461255352896524,1.8426559529674595,12.12220762155059,1.0,False,False,False,False,15.150207923416808
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-03-31,,v4_-22,-3.3461255352896027,1.6156628068710144,2.246725272357419e-13,3.3461255352896524,1.8426559529674595,12.12220762155059,1.0,False,False,False,False,15.150207923416808
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-03-31,,peak_-22,-3.3461255352896027,1.6156628068710144,2.246725272357419e-13,3.3461255352896524,1.8426559529674595,12.12220762155059,1.0,False,False,False,False,15.150207923416808
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-03-31,,tiered,-3.3461255352896027,1.6156628068710144,2.246725272357419e-13,3.3461255352896524,1.8426559529674595,12.12220762155059,1.0,False,False,False,False,15.150207923416808
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-03-31,,IPS,-3.3461255352896027,1.6396808201897508,0.5899248649235972,3.476663366673689,1.8426559529674595,12.12220762155059,1.0,False,False,False,False,15.150207923416808
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-04-30,,hold,-3.2346492873486152,1.581364587341839,0.0,3.2346492873486152,1.7199834919801469,11.136662286465176,0.7935233890950912,False,False,False,False,15.000228724202822
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-04-30,,v4_-22,-3.2346492873486152,1.581364587341839,0.0,3.2346492873486152,1.7199834919801469,11.136662286465176,0.7935233890950912,False,False,False,False,15.000228724202822
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-04-30,,peak_-22,-3.2346492873486152,1.581364587341839,0.0,3.2346492873486152,1.7199834919801469,11.136662286465176,0.7935233890950912,False,False,False,False,15.000228724202822
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-04-30,,tiered,-3.2346492873486152,1.581364587341839,0.0,3.2346492873486152,1.7199834919801469,11.136662286465176,0.7935233890950912,False,False,False,False,15.000228724202822
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-04-30,,IPS,-3.2346492873486152,1.6120469196310858,0.7487544114728503,3.405362444693457,1.7199834919801469,11.136662286465176,0.7935233890950912,False,False,False,False,15.000228724202822
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-05-28,,hold,-3.3149203838756285,1.6090093346509282,0.0,3.3149203838756285,1.799033921131005,10.21681997371879,0.9599744428582296,False,False,False,False,15.294716682967854
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-05-28,,v4_-22,-3.3149203838756285,1.6090093346509282,0.0,3.3149203838756285,1.799033921131005,10.21681997371879,0.9599744428582296,False,False,False,False,15.294716682967854
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-05-28,,peak_-22,-3.3149203838756285,1.6090093346509282,0.0,3.3149203838756285,1.799033921131005,10.21681997371879,0.9599744428582296,False,False,False,False,15.294716682967854
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-05-28,,tiered,-3.3149203838756285,1.6090093346509282,0.0,3.3149203838756285,1.799033921131005,10.21681997371879,0.9599744428582296,False,False,False,False,15.294716682967854
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-05-28,,IPS,-3.3149203838756285,1.6222747559828758,0.3250185584701612,3.38712587083943,1.799033921131005,10.21681997371879,0.9599744428582296,False,False,False,False,15.294716682967854
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-06-30,,hold,-2.815415867851702,1.465390631050209,1.6302399828761671e-13,2.8154158678517383,1.596720623553864,9.132720105124836,1.0,False,False,False,False,14.453163201876592
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-06-30,,v4_-22,-2.815415867851702,1.465390631050209,1.6302399828761671e-13,2.8154158678517383,1.596720623553864,9.132720105124836,1.0,False,False,False,False,14.453163201876592
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-06-30,,peak_-22,-2.815415867851702,1.465390631050209,1.6302399828761671e-13,2.8154158678517383,1.596720623553864,9.132720105124836,1.0,False,False,False,False,14.453163201876592
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-06-30,,tiered,-2.815415867851702,1.465390631050209,1.6302399828761671e-13,2.8154158678517383,1.596720623553864,9.132720105124836,1.0,False,False,False,False,14.453163201876592
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-06-30,,IPS,-2.815415867851702,1.4755097823816812,0.2754139154312891,2.876632440182663,1.596720623553864,9.132720105124836,1.0,False,False,False,False,14.453163201876592
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-07-30,,hold,-2.8787920782595977,1.48142342489192,0.0,2.8787920782595977,1.6078517061425621,10.808147174770038,0.8917942380265209,False,False,False,False,14.492481392212046
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-07-30,,v4_-22,-2.8787920782595977,1.48142342489192,0.0,2.8787920782595977,1.6078517061425621,10.808147174770038,0.8917942380265209,False,False,False,False,14.492481392212046
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-07-30,,peak_-22,-2.8787920782595977,1.48142342489192,0.0,2.8787920782595977,1.6078517061425621,10.808147174770038,0.8917942380265209,False,False,False,False,14.492481392212046
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-07-30,,tiered,-2.8787920782595977,1.48142342489192,0.0,2.8787920782595977,1.6078517061425621,10.808147174770038,0.8917942380265209,False,False,False,False,14.492481392212046
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-07-30,,IPS,-2.8787920782595977,1.5076857567419708,0.7028528273059909,3.0358342764108914,1.6078517061425621,10.808147174770038,0.8917942380265209,False,False,False,False,14.492481392212046
baseline,NonEvent,SPX Dec-27 seagull 90/70 -125c,spx,True,False,1993-08-31,,hold,-2.5450127427886224,1.4024690431362448,-6.864705018862308e-15,2.5450127427886207,1.5685795740208919,9.756898817345597,1.0,False,False,False,False,14.372806917438599
